Algorithm,Build time (s),Probe time (s),Number of bits
CHD(0.7;1),4.47073,3.20971,46227936
CHD(0.7;2),5.593,3.17774,35211232
CHD(0.7;3),4.03521,3.14423,31711488
CHD(0.7;4),4.30811,3.13181,30116384
CHD(0.7;5),4.88365,3.11881,29272256
CHD(0.8;1),4.14916,3.21338,41586080
CHD(0.8;2),4.07176,3.17734,30718432
CHD(0.8;3),4.31,3.16418,27376288
CHD(0.8;4),5.02835,3.14118,25920576
CHD(0.8;5),6.35297,3.14261,25198944
CHD(0.9;1),4.36911,3.11907,38225792
CHD(0.9;2),4.32678,3.08993,27621056
CHD(0.9;3),4.95465,3.07168,24503360
CHD(0.9;4),6.60267,3.0755,23244064
CHD(0.9;5),10.6895,3.07789,22668000
CHD(0.95;1),4.54733,3.04842,36744160
CHD(0.95;2),4.55916,3.02318,26331296
CHD(0.95;3),5.60568,3.00381,23394144
CHD(0.95;4),8.61997,3.00656,22262304
CHD(0.95;5),17.3995,2.91351,21484192
CHD(0.98;1),4.76934,2.99173,35893440
CHD(0.98;2),4.84249,2.92835,25627136
CHD(0.98;3),6.39068,2.93466,22836384
CHD(0.98;4),11.4424,2.92902,21827232
CHD(0.98;5),28.5357,2.85036,20856832
PTHash(dictionary-dictionary;4;0.7),3.79488,0.49185,31476240
PTHash(dictionary-dictionary;5;0.7),3.20917,0.493354,34696336
PTHash(dictionary-dictionary;6;0.7),2.96568,0.496963,36629904
PTHash(dictionary-dictionary;7;0.7),2.85382,0.496322,37059088
PTHash(dictionary-dictionary;8;0.7),2.78183,0.499539,40068944
PTHash(dictionary-dictionary;9;0.7),2.74154,0.501146,43078864
PTHash(dictionary-dictionary;4;0.8),5.0919,0.417398,28631632
PTHash(dictionary-dictionary;5;0.8),3.78486,0.420041,30769936
PTHash(dictionary-dictionary;6;0.8),3.30849,0.422246,33862416
PTHash(dictionary-dictionary;7;0.8),3.04417,0.424679,35494928
PTHash(dictionary-dictionary;8;0.8),2.93604,0.425038,37902224
PTHash(dictionary-dictionary;9;0.8),2.84962,0.427397,41212880
PTHash(dictionary-dictionary;4;0.9),8.20022,0.347833,26500976
PTHash(dictionary-dictionary;5;0.9),5.01805,0.349496,29349232
PTHash(dictionary-dictionary;6;0.9),3.91563,0.351211,31361072
PTHash(dictionary-dictionary;7;0.9),3.47715,0.351613,32518640
PTHash(dictionary-dictionary;8;0.9),3.21917,0.354049,36257584
PTHash(dictionary-dictionary;9;0.9),3.0989,0.355478,37288816
PTHash(dictionary-dictionary;4;0.95),11.8407,0.316028,25496768
PTHash(dictionary-dictionary;5;0.95),6.26279,0.31553,26595520
PTHash(dictionary-dictionary;6;0.95),4.57662,0.318958,29374336
PTHash(dictionary-dictionary;7;0.95),3.82918,0.3203,32765184
PTHash(dictionary-dictionary;8;0.95),3.46959,0.320333,33493312
PTHash(dictionary-dictionary;9;0.95),3.22502,0.322475,37233280
PTHash(dictionary-dictionary;4;0.98),16.3248,0.296392,23656480
PTHash(dictionary-dictionary;5;0.98),7.59961,0.298021,26863008
PTHash(dictionary-dictionary;6;0.98),5.16572,0.299927,29288032
PTHash(dictionary-dictionary;7;0.98),4.20043,0.300652,30868832
PTHash(dictionary-dictionary;8;0.98),3.67317,0.30322,35035424
PTHash(dictionary-dictionary;9;0.98),3.41288,0.304652,38043360
BDZ(3;1.23),9.67811,1.1992,73800208
BDZ(3;1.3),9.46369,1.19878,78000216
BDZ(3;1.4),9.24695,1.21625,84000208
BDZ(3;1.5),9.06124,1.23089,90000208
BDZ(4;1.23),9.62344,1.217,49200208
BDZ(4;1.3),9.46348,1.21996,52000216
BDZ(4;1.4),9.23968,1.2269,56000208
BDZ(4;1.5),9.13434,1.23166,60000208
BDZ(5;1.23),9.61579,1.23629,36900208
BDZ(5;1.3),9.46485,1.23908,39000216
BDZ(5;1.4),9.26606,1.24141,42000208
BDZ(5;1.5),9.05535,1.24254,45000208
BDZ(6;1.23),9.6158,1.26372,30750192
BDZ(6;1.3),9.46463,1.26553,32500216
BDZ(6;1.4),9.24536,1.26662,35000208
BDZ(6;1.5),9.05731,1.26844,37500208
BDZ(7;1.23),9.62279,1.33633,27675184
BDZ(7;1.3),8.24003,1.32962,29250200
BDZ(7;1.4),8.05969,1.33227,31500208
BDZ(7;1.5),7.89277,1.33661,33750192
BDZ(8;1.23),8.37755,1.43787,26137680
BDZ(8;1.3),8.25816,1.47668,27625208
BDZ(8;1.4),8.05259,1.48035,29750192
BDZ(8;1.5),7.89951,1.42621,31875184
BDZ(9;1.23),8.38071,1.72649,25368944
BDZ(9;1.3),9.45384,1.73325,26812696
BDZ(9;1.4),9.23703,1.69611,28875184
BDZ(9;1.5),9.05393,1.72103,30937680
BDZ(10;1.23),9.60918,2.2274,24984560
BDZ(10;1.3),9.46391,2.23953,26406456
BDZ(10;1.4),9.24163,2.25511,28437680
BDZ(10;1.5),9.04842,2.24313,30468944
BBHash(1),1.92767,0.738195,30645024
BBHash(1.5),1.38133,0.684826,32871680
BBHash(2),1.13126,0.614002,37100160
BBHash(2.5),0.988254,0.559607,41961472
BBHash(3),0.909724,0.525481,47105920
BBHash(3.5),0.850631,0.500717,52400896
BBHash(4),0.818344,0.487246,57785408
BBHash(4.5),0.797775,0.481273,63227008
BBHash(5),0.778788,0.473699,68708096
BBHash(5.5),0.793475,0.495001,74216960
BBHash(6),0.76718,0.506653,79746048
BBHash(6.5),0.79035,0.522047,85290880
BBHash(7),0.778537,0.522859,90847488
RecSplit(2;2),4.51672,1.23084,44724849
RecSplit(4;2),4.16228,0.998467,40247890
RecSplit(6;2),4.26454,0.950988,34891734
RecSplit(8;2),4.33193,0.934496,34859351
RecSplit(2;4),4.39337,1.38677,39511019
RecSplit(4;4),3.98142,1.14408,32466046
RecSplit(6;4),4.44281,0.970847,29924461
RecSplit(8;4),5.32571,0.894691,29514925
RecSplit(2;8),3.93526,1.47805,33922445
RecSplit(4;8),3.6099,1.29427,28250799
RecSplit(6;8),4.64447,1.13811,26428144
RecSplit(8;8),8.09525,1.0374,24487444
RecSplit(2;12),3.66379,1.47271,31796125
RecSplit(4;12),3.3931,1.31648,26700161
RecSplit(6;12),4.71147,1.18957,24263475
RecSplit(8;12),8.7037,1.0589,22869835
RecSplit(2;16),3.53717,1.56082,30435860
RecSplit(4;16),3.27684,1.38322,25600578
RecSplit(6;16),4.82001,1.24075,22895481
RecSplit(8;16),9.00738,1.11399,21701382
RecSplit(2;20),3.46325,1.66321,29748576
RecSplit(4;20),3.20814,1.38385,24861019
RecSplit(6;20),4.85306,1.25019,22245907
RecSplit(8;20),9.74293,1.11165,20730172
