Trial,Alpha,Algorithm,Time (s)
0,0.01,Conventional,0.214149
0,0.01,AceHash,0.201186
1,0.01,Conventional,0.215509
1,0.01,AceHash,0.201782
2,0.01,Conventional,0.215977
2,0.01,AceHash,0.201764
3,0.01,Conventional,0.216116
3,0.01,AceHash,0.202826
4,0.01,Conventional,0.215992
4,0.01,AceHash,0.201727
0,0.02,Conventional,0.203705
0,0.02,AceHash,0.177778
1,0.02,Conventional,0.206001
1,0.02,AceHash,0.178131
2,0.02,Conventional,0.206328
2,0.02,AceHash,0.177902
3,0.02,Conventional,0.206189
3,0.02,AceHash,0.177738
4,0.02,Conventional,0.205792
4,0.02,AceHash,0.1782
0,0.03,Conventional,0.197534
0,0.03,AceHash,0.164399
1,0.03,Conventional,0.198569
1,0.03,AceHash,0.164491
2,0.03,Conventional,0.19807
2,0.03,AceHash,0.164568
3,0.03,Conventional,0.198496
3,0.03,AceHash,0.164544
4,0.03,Conventional,0.19817
4,0.03,AceHash,0.164451
0,0.04,Conventional,0.190743
0,0.04,AceHash,0.15825
1,0.04,Conventional,0.192311
1,0.04,AceHash,0.158198
2,0.04,Conventional,0.192436
2,0.04,AceHash,0.158179
3,0.04,Conventional,0.192239
3,0.04,AceHash,0.158623
4,0.04,Conventional,0.192162
4,0.04,AceHash,0.15836
0,0.05,Conventional,0.186171
0,0.05,AceHash,0.154042
1,0.05,Conventional,0.188019
1,0.05,AceHash,0.154078
2,0.05,Conventional,0.188102
2,0.05,AceHash,0.153982
3,0.05,Conventional,0.188098
3,0.05,AceHash,0.15408
4,0.05,Conventional,0.188442
4,0.05,AceHash,0.15407
0,0.06,Conventional,0.183442
0,0.06,AceHash,0.149637
1,0.06,Conventional,0.185018
1,0.06,AceHash,0.149484
2,0.06,Conventional,0.184859
2,0.06,AceHash,0.14932
3,0.06,Conventional,0.185519
3,0.06,AceHash,0.149675
4,0.06,Conventional,0.184841
4,0.06,AceHash,0.149409
0,0.07,Conventional,0.181662
0,0.07,AceHash,0.146455
1,0.07,Conventional,0.182374
1,0.07,AceHash,0.14644
2,0.07,Conventional,0.182371
2,0.07,AceHash,0.146409
3,0.07,Conventional,0.182252
3,0.07,AceHash,0.146648
4,0.07,Conventional,0.182137
4,0.07,AceHash,0.146452
0,0.08,Conventional,0.179182
0,0.08,AceHash,0.143813
1,0.08,Conventional,0.179909
1,0.08,AceHash,0.143766
2,0.08,Conventional,0.180473
2,0.08,AceHash,0.143794
3,0.08,Conventional,0.180142
3,0.08,AceHash,0.143811
4,0.08,Conventional,0.180356
4,0.08,AceHash,0.143809
0,0.09,Conventional,0.177627
0,0.09,AceHash,0.141567
1,0.09,Conventional,0.178734
1,0.09,AceHash,0.141583
2,0.09,Conventional,0.178374
2,0.09,AceHash,0.141731
3,0.09,Conventional,0.178289
3,0.09,AceHash,0.14157
4,0.09,Conventional,0.178246
4,0.09,AceHash,0.14187
0,0.1,Conventional,0.175721
0,0.1,AceHash,0.14113
1,0.1,Conventional,0.177242
1,0.1,AceHash,0.139512
2,0.1,Conventional,0.177539
2,0.1,AceHash,0.139666
3,0.1,Conventional,0.177303
3,0.1,AceHash,0.139848
4,0.1,Conventional,0.177948
4,0.1,AceHash,0.140641
0,0.11,Conventional,0.174713
0,0.11,AceHash,0.137612
1,0.11,Conventional,0.175584
1,0.11,AceHash,0.137458
2,0.11,Conventional,0.175537
2,0.11,AceHash,0.137536
3,0.11,Conventional,0.175899
3,0.11,AceHash,0.137509
4,0.11,Conventional,0.176061
4,0.11,AceHash,0.137434
0,0.12,Conventional,0.17368
0,0.12,AceHash,0.135623
1,0.12,Conventional,0.173894
1,0.12,AceHash,0.135709
2,0.12,Conventional,0.173906
2,0.12,AceHash,0.135607
3,0.12,Conventional,0.174724
3,0.12,AceHash,0.135789
4,0.12,Conventional,0.174084
4,0.12,AceHash,0.135693
0,0.13,Conventional,0.171975
0,0.13,AceHash,0.13497
1,0.13,Conventional,0.173265
1,0.13,AceHash,0.135018
2,0.13,Conventional,0.173637
2,0.13,AceHash,0.134992
3,0.13,Conventional,0.172803
3,0.13,AceHash,0.134998
4,0.13,Conventional,0.173088
4,0.13,AceHash,0.134991
0,0.14,Conventional,0.171595
0,0.14,AceHash,0.133113
1,0.14,Conventional,0.1716
1,0.14,AceHash,0.133125
2,0.14,Conventional,0.172189
2,0.14,AceHash,0.13313
3,0.14,Conventional,0.171971
3,0.14,AceHash,0.13321
4,0.14,Conventional,0.17202
4,0.14,AceHash,0.133118
0,0.15,Conventional,0.170458
0,0.15,AceHash,0.131295
1,0.15,Conventional,0.170864
1,0.15,AceHash,0.131358
2,0.15,Conventional,0.169794
2,0.15,AceHash,0.131326
3,0.15,Conventional,0.170671
3,0.15,AceHash,0.131247
4,0.15,Conventional,0.171264
4,0.15,AceHash,0.131316
0,0.16,Conventional,0.169202
0,0.16,AceHash,0.129447
1,0.16,Conventional,0.170529
1,0.16,AceHash,0.129401
2,0.16,Conventional,0.17022
2,0.16,AceHash,0.129606
3,0.16,Conventional,0.169797
3,0.16,AceHash,0.129472
4,0.16,Conventional,0.170446
4,0.16,AceHash,0.12938
0,0.17,Conventional,0.166935
0,0.17,AceHash,0.127796
1,0.17,Conventional,0.168826
1,0.17,AceHash,0.127842
2,0.17,Conventional,0.168181
2,0.17,AceHash,0.12765
3,0.17,Conventional,0.168989
3,0.17,AceHash,0.1278
4,0.17,Conventional,0.168278
4,0.17,AceHash,0.12782
0,0.18,Conventional,0.166729
0,0.18,AceHash,0.125912
1,0.18,Conventional,0.168219
1,0.18,AceHash,0.12575
2,0.18,Conventional,0.168105
2,0.18,AceHash,0.125875
3,0.18,Conventional,0.168003
3,0.18,AceHash,0.125854
4,0.18,Conventional,0.168177
4,0.18,AceHash,0.125949
0,0.19,Conventional,0.166026
0,0.19,AceHash,0.124204
1,0.19,Conventional,0.166573
1,0.19,AceHash,0.124105
2,0.19,Conventional,0.166195
2,0.19,AceHash,0.124201
3,0.19,Conventional,0.166565
3,0.19,AceHash,0.12425
4,0.19,Conventional,0.166643
4,0.19,AceHash,0.12424
0,0.2,Conventional,0.16493
0,0.2,AceHash,0.122301
1,0.2,Conventional,0.165518
1,0.2,AceHash,0.122331
2,0.2,Conventional,0.165904
2,0.2,AceHash,0.122801
3,0.2,Conventional,0.165688
3,0.2,AceHash,0.122455
4,0.2,Conventional,0.165368
4,0.2,AceHash,0.122249
0,0.21,Conventional,0.163943
0,0.21,AceHash,0.120741
1,0.21,Conventional,0.164091
1,0.21,AceHash,0.12078
2,0.21,Conventional,0.164075
2,0.21,AceHash,0.120618
3,0.21,Conventional,0.164046
3,0.21,AceHash,0.120784
4,0.21,Conventional,0.164387
4,0.21,AceHash,0.120583
0,0.22,Conventional,0.162295
0,0.22,AceHash,0.119038
1,0.22,Conventional,0.163374
1,0.22,AceHash,0.119335
2,0.22,Conventional,0.162755
2,0.22,AceHash,0.118906
3,0.22,Conventional,0.163531
3,0.22,AceHash,0.118915
4,0.22,Conventional,0.162719
4,0.22,AceHash,0.118884
0,0.23,Conventional,0.161777
0,0.23,AceHash,0.117341
1,0.23,Conventional,0.16233
1,0.23,AceHash,0.117335
2,0.23,Conventional,0.161873
2,0.23,AceHash,0.11726
3,0.23,Conventional,0.161849
3,0.23,AceHash,0.117323
4,0.23,Conventional,0.161652
4,0.23,AceHash,0.117484
0,0.24,Conventional,0.160308
0,0.24,AceHash,0.114229
1,0.24,Conventional,0.16029
1,0.24,AceHash,0.114132
2,0.24,Conventional,0.160703
2,0.24,AceHash,0.114425
3,0.24,Conventional,0.160505
3,0.24,AceHash,0.114086
4,0.24,Conventional,0.161028
4,0.24,AceHash,0.114215
0,0.25,Conventional,0.159302
0,0.25,AceHash,0.112629
1,0.25,Conventional,0.160069
1,0.25,AceHash,0.112653
2,0.25,Conventional,0.159566
2,0.25,AceHash,0.114654
3,0.25,Conventional,0.159636
3,0.25,AceHash,0.112567
4,0.25,Conventional,0.159289
4,0.25,AceHash,0.112815
0,0.26,Conventional,0.158093
0,0.26,AceHash,0.111482
1,0.26,Conventional,0.158372
1,0.26,AceHash,0.111569
2,0.26,Conventional,0.158103
2,0.26,AceHash,0.111715
3,0.26,Conventional,0.157886
3,0.26,AceHash,0.111545
4,0.26,Conventional,0.158226
4,0.26,AceHash,0.111562
0,0.27,Conventional,0.156887
0,0.27,AceHash,0.11053
1,0.27,Conventional,0.157427
1,0.27,AceHash,0.110103
2,0.27,Conventional,0.156917
2,0.27,AceHash,0.110153
3,0.27,Conventional,0.157211
3,0.27,AceHash,0.110495
4,0.27,Conventional,0.157119
4,0.27,AceHash,0.110299
0,0.28,Conventional,0.155117
0,0.28,AceHash,0.109304
1,0.28,Conventional,0.155835
1,0.28,AceHash,0.109279
2,0.28,Conventional,0.156257
2,0.28,AceHash,0.109555
3,0.28,Conventional,0.155682
3,0.28,AceHash,0.109201
4,0.28,Conventional,0.15706
4,0.28,AceHash,0.109106
0,0.29,Conventional,0.154158
0,0.29,AceHash,0.108087
1,0.29,Conventional,0.154376
1,0.29,AceHash,0.107904
2,0.29,Conventional,0.155932
2,0.29,AceHash,0.11126
3,0.29,Conventional,0.155698
3,0.29,AceHash,0.107804
4,0.29,Conventional,0.15586
4,0.29,AceHash,0.108119
0,0.3,Conventional,0.152506
0,0.3,AceHash,0.106923
1,0.3,Conventional,0.152755
1,0.3,AceHash,0.10694
2,0.3,Conventional,0.153654
2,0.3,AceHash,0.106939
3,0.3,Conventional,0.15312
3,0.3,AceHash,0.107111
4,0.3,Conventional,0.15285
4,0.3,AceHash,0.106951
0,0.31,Conventional,0.151446
0,0.31,AceHash,0.106093
1,0.31,Conventional,0.151644
1,0.31,AceHash,0.106331
2,0.31,Conventional,0.152097
2,0.31,AceHash,0.105913
3,0.31,Conventional,0.151887
3,0.31,AceHash,0.105868
4,0.31,Conventional,0.151699
4,0.31,AceHash,0.106198
0,0.32,Conventional,0.149792
0,0.32,AceHash,0.103803
1,0.32,Conventional,0.1498
1,0.32,AceHash,0.10367
2,0.32,Conventional,0.150155
2,0.32,AceHash,0.103665
3,0.32,Conventional,0.150056
3,0.32,AceHash,0.103689
4,0.32,Conventional,0.150368
4,0.32,AceHash,0.10372
0,0.33,Conventional,0.149206
0,0.33,AceHash,0.102749
1,0.33,Conventional,0.149024
1,0.33,AceHash,0.102638
2,0.33,Conventional,0.148995
2,0.33,AceHash,0.10235
3,0.33,Conventional,0.149323
3,0.33,AceHash,0.102312
4,0.33,Conventional,0.14883
4,0.33,AceHash,0.10234
0,0.34,Conventional,0.148506
0,0.34,AceHash,0.101108
1,0.34,Conventional,0.147608
1,0.34,AceHash,0.101207
2,0.34,Conventional,0.147751
2,0.34,AceHash,0.101146
3,0.34,Conventional,0.147538
3,0.34,AceHash,0.10111
4,0.34,Conventional,0.147473
4,0.34,AceHash,0.1011
0,0.35,Conventional,0.146537
0,0.35,AceHash,0.10067
1,0.35,Conventional,0.146529
1,0.35,AceHash,0.100828
2,0.35,Conventional,0.147156
2,0.35,AceHash,0.101399
3,0.35,Conventional,0.146053
3,0.35,AceHash,0.101155
4,0.35,Conventional,0.146735
4,0.35,AceHash,0.100797
0,0.36,Conventional,0.144894
0,0.36,AceHash,0.0987952
1,0.36,Conventional,0.145243
1,0.36,AceHash,0.0988079
2,0.36,Conventional,0.144848
2,0.36,AceHash,0.0990096
3,0.36,Conventional,0.145139
3,0.36,AceHash,0.0987876
4,0.36,Conventional,0.144956
4,0.36,AceHash,0.0989105
0,0.37,Conventional,0.144107
0,0.37,AceHash,0.0979182
1,0.37,Conventional,0.144259
1,0.37,AceHash,0.0979167
2,0.37,Conventional,0.143745
2,0.37,AceHash,0.097928
3,0.37,Conventional,0.143689
3,0.37,AceHash,0.0978805
4,0.37,Conventional,0.144168
4,0.37,AceHash,0.0979296
0,0.38,Conventional,0.142964
0,0.38,AceHash,0.096492
1,0.38,Conventional,0.142439
1,0.38,AceHash,0.096475
2,0.38,Conventional,0.142641
2,0.38,AceHash,0.096598
3,0.38,Conventional,0.141789
3,0.38,AceHash,0.0964466
4,0.38,Conventional,0.142622
4,0.38,AceHash,0.0964196
0,0.39,Conventional,0.141565
0,0.39,AceHash,0.0977473
1,0.39,Conventional,0.141036
1,0.39,AceHash,0.0966369
2,0.39,Conventional,0.140754
2,0.39,AceHash,0.0965765
3,0.39,Conventional,0.141191
3,0.39,AceHash,0.0963637
4,0.39,Conventional,0.140357
4,0.39,AceHash,0.0961172
0,0.4,Conventional,0.139312
0,0.4,AceHash,0.0974963
1,0.4,Conventional,0.139685
1,0.4,AceHash,0.0951855
2,0.4,Conventional,0.139308
2,0.4,AceHash,0.0947357
3,0.4,Conventional,0.139113
3,0.4,AceHash,0.0946911
4,0.4,Conventional,0.139322
4,0.4,AceHash,0.094957
0,0.41,Conventional,0.137518
0,0.41,AceHash,0.0941655
1,0.41,Conventional,0.137662
1,0.41,AceHash,0.0939729
2,0.41,Conventional,0.13764
2,0.41,AceHash,0.094072
3,0.41,Conventional,0.137899
3,0.41,AceHash,0.0942335
4,0.41,Conventional,0.137402
4,0.41,AceHash,0.0940242
0,0.42,Conventional,0.135913
0,0.42,AceHash,0.0940372
1,0.42,Conventional,0.136103
1,0.42,AceHash,0.0933768
2,0.42,Conventional,0.136415
2,0.42,AceHash,0.0936581
3,0.42,Conventional,0.136185
3,0.42,AceHash,0.0933444
4,0.42,Conventional,0.136235
4,0.42,AceHash,0.0933567
0,0.43,Conventional,0.134495
0,0.43,AceHash,0.0933742
1,0.43,Conventional,0.135199
1,0.43,AceHash,0.0934002
2,0.43,Conventional,0.134222
2,0.43,AceHash,0.093453
3,0.43,Conventional,0.135308
3,0.43,AceHash,0.0934979
4,0.43,Conventional,0.134694
4,0.43,AceHash,0.0935629
0,0.44,Conventional,0.133172
0,0.44,AceHash,0.0925126
1,0.44,Conventional,0.133054
1,0.44,AceHash,0.0924545
2,0.44,Conventional,0.133386
2,0.44,AceHash,0.0924816
3,0.44,Conventional,0.133075
3,0.44,AceHash,0.0925478
4,0.44,Conventional,0.13289
4,0.44,AceHash,0.092571
0,0.45,Conventional,0.131672
0,0.45,AceHash,0.0921077
1,0.45,Conventional,0.132008
1,0.45,AceHash,0.0922113
2,0.45,Conventional,0.131268
2,0.45,AceHash,0.0922386
3,0.45,Conventional,0.131547
3,0.45,AceHash,0.0922887
4,0.45,Conventional,0.131421
4,0.45,AceHash,0.092178
0,0.46,Conventional,0.130477
0,0.46,AceHash,0.0914444
1,0.46,Conventional,0.129866
1,0.46,AceHash,0.0915032
2,0.46,Conventional,0.13007
2,0.46,AceHash,0.0917029
3,0.46,Conventional,0.130151
3,0.46,AceHash,0.0914648
4,0.46,Conventional,0.12998
4,0.46,AceHash,0.0921661
0,0.47,Conventional,0.128097
0,0.47,AceHash,0.0908977
1,0.47,Conventional,0.128241
1,0.47,AceHash,0.0908764
2,0.47,Conventional,0.128417
2,0.47,AceHash,0.0908395
3,0.47,Conventional,0.128522
3,0.47,AceHash,0.0910774
4,0.47,Conventional,0.128431
4,0.47,AceHash,0.0908488
0,0.48,Conventional,0.127151
0,0.48,AceHash,0.0906764
1,0.48,Conventional,0.127368
1,0.48,AceHash,0.0906611
2,0.48,Conventional,0.126989
2,0.48,AceHash,0.0908398
3,0.48,Conventional,0.127023
3,0.48,AceHash,0.0905935
4,0.48,Conventional,0.126914
4,0.48,AceHash,0.0907
0,0.49,Conventional,0.126135
0,0.49,AceHash,0.090021
1,0.49,Conventional,0.125846
1,0.49,AceHash,0.0898507
2,0.49,Conventional,0.125838
2,0.49,AceHash,0.0897844
3,0.49,Conventional,0.125485
3,0.49,AceHash,0.0899036
4,0.49,Conventional,0.125896
4,0.49,AceHash,0.0901121
0,0.5,Conventional,0.123938
0,0.5,AceHash,0.0898227
1,0.5,Conventional,0.124325
1,0.5,AceHash,0.0903785
2,0.5,Conventional,0.124343
2,0.5,AceHash,0.0899106
3,0.5,Conventional,0.124125
3,0.5,AceHash,0.0898643
